,title,distributor,id,rating score
440,Bhoot Chaturdashi,no_data,tt10585038,no_data
441,Bharat,T-Series,tt7721800,5.3/10
442,Beyond the Sky,no_data,tt3665498,no_data
443,Beyond the Edge,Hulu,tt5629524,no_data
444,Beware of Ladies,no_data,tt0027354,no_data
445,Better Luck Tomorrow,Paramount Pictures,tt0280477,7/10
446,Benji,no_data,no_data,no_data
447,Beneath the Darkness,RLJE Films,tt1781775,4%
448,Beneath Hill 60,Paramount Pictures,tt1418646,7.1/10
449,Beneath,Paramount Vantage,tt0467167,no_data
450,Bells of San Angelo,Republic Pictures,tt0039180,no_data
451,Bells of Rosarita,Republic Pictures,tt0037535,no_data
452,Belle and Sebastian,Vertigo Média,tt3146360,6.3/10
453,Behind Green Lights,20th Century Studios,tt0038346,no_data
454,Because We Are Girls,no_data,tt10064448,no_data
455,Because I Love You,Next Entertainment World,tt5836246,no_data
456,Batla House,T-Series,tt8869978,38%
457,Barista,Samuel Goldwyn Films,tt4651932,no_data
458,Badge of Honor,no_data,tt0024858,no_data
459,Bad Kids of Crestview Academy,Momentum Pictures,tt3349578,4.1/10
460,Bad Company,Netflix,tt0112443,4.2/10
461,Bad Asses on the Bayou,20th Century Studios Home Entertainment,tt3525346,no_data
462,Bad Ass,Netflix,tt1928330,20%
463,Backtrack,Saban Capital Group,tt2784936,4.5/10
464,Babysitters Beware,no_data,tt1172997,no_data
465,Baby Cat,no_data,tt0085206,no_data
466,Babru,no_data,tt11247252,no_data
467,Ayogya,Vishal Film Factory,tt9304360,no_data
468,Ava's Possessions,Netflix,tt3727982,69%
469,Ashley,no_data,tt2084093,no_data
470,Aruvi,no_data,tt5867800,no_data
471,Apollo 13,UIP-Dunafilm,tt0112384,8.1/10
472,APEX: The Story of the Hypercar,Netflix,tt4325400,no_data
473,Any Day Now,Music Box Films,tt2066176,6.7/10
474,Antarctica,Kadokawa Pictures,tt0085991,no_data
475,Another Mother's Son,no_data,tt5193790,50%
476,Anna,Netflix,tt0092569,no_data
477,Anita,Disney+,tt15010590,no_data
478,Animal,Netflix,tt0287915,no_data
479,Angrezi Mein Kehte Hain,no_data,tt6613812,no_data
480,Angela's Ashes,Universal Pictures,tt0145653,5.7/10
481,Angel and the Badman,Republic Pictures,tt0039152,6.8/10
482,And So It Goes,Clarius Entertainment,tt2465146,4.2/10
483,An American Carol,Gaiam Vivendi Entertainment,tt1190617,3.3/10
484,Among Us,SF Studios,tt1391142,no_data
485,American Animals,Teodora Film,tt6212478,7.6/10
486,Amateur Night,no_data,tt0001110,no_data
487,Amar Akbar Anthony,Eros International,tt8107464,no_data
488,Amal,Netflix,tt0907674,100%
489,Alphabet City,Netflix,tt0086877,no_data
490,Alley Cat,Film Ventures International,tt0083541,no_data
491,All Roads Lead Home,no_data,tt0050114,no_data
492,All Over Town,no_data,tt0028568,no_data
493,Aida's Secrets,Vudu,tt5706568,no_data
494,Agent Sai Srinivasa Athreya,no_data,tt10214826,no_data
495,After School,no_data,tt0381860,no_data
496,About Alex,Screen Media Films,tt2667918,5.5/10
