,title,director,cast,country,date_added_netflix,release_year,rating,duration,listed_in,description,rotten_rate,netflix,hulu,prime,disney,date_added_amazon,date_added_hulu,date_added_disney
60,How I Became a Superhero,Douglas Attal,"Pio Marmaï, Vimala Pons, Benoît Poelvoorde, Leïla Bekhti, Swann Arlaud, Gilles Cohen, Léonie Souchaud, Camille Japy, Louis Peres, Théo Christine",No Data,2021-07-09,2021,TV-MA,101 min,"Action & Adventure, Dramas, International Movies","In a world where humans and superheroes coexist, a lone wolf cop teams up with a bright detective to dismantle a dark plot to extract superpowers.",62,1,0,0,0,1970-01-01,1970-01-01,1970-01-01
61,Last Summer,No Data,"Fatih Şahin, Ece Çeşmioğlu, Halit Özgür Sarı, Aslıhan Malbora, Eray Ertüren, Eren Ören, Ozan Kaya Oktu, Talha Öztürk, Merve Nur Bengi, Sümeyye Aydoğan",No Data,2021-07-09,2021,TV-MA,102 min,"Dramas, International Movies, Romantic Movies","During summer vacation in a beachside town, 16-year-old Deniz seeks the affection of his childhood crush and navigates a love triangle.",58,1,0,0,0,1970-01-01,1970-01-01,1970-01-01
62,Lee Su-geun: The Sense Coach,Kim Joo-hyung,Lee Su-geun,No Data,2021-07-09,2021,TV-G,46 min,Stand-Up Comedy,"Lee Su-geun's rise to Korean comedy stardom went hand in hand with his mastery over picking up social cues. Now, he's ready to share his know-hows.",44,1,0,0,0,1970-01-01,1970-01-01,1970-01-01
63,Back to Q82,Ahmed Siddiqui,"Jassim Al Nabhan, Abdel Imam Abdullah, Abdulaziz El Nassar, Khalid Muthafar, Amal Anbari, Ali Al-Hamdaan, El Hussein Abd, Nawaf Al Shemmeri, Bashar Abd Alah, Naser Albouloshy","Kuwait, United States",2021-07-08,2017,TV-14,104 min,"Comedies, International Movies","Eager to rejoin her divorced parents, an inventor's daughter drives his time-traveling car back to 1982. But a secret crush accidentally follows.",39,1,0,0,0,1970-01-01,1970-01-01,1970-01-01
64,Home Again,Hallie Meyers-Shyer,"Reese Witherspoon, Michael Sheen, Candice Bergen, Nat Wolff, Jon Rudnitsky, Pico Alexander, Lake Bell, Reid Scott, Dolly Wells, Lola Flanery, Eden Grace Redfield, P.J. Byrne",United States,2021-07-08,2017,PG-13,97 min,"Comedies, Dramas, Romantic Movies","A newly single mom takes in three young male filmmakers as boarders, but her estranged husband returns to complicate her new, unconventional life.",67,1,0,0,0,1970-01-01,1970-01-01,1970-01-01
65,Rock the Kasbah,Barry Levinson,"Bill Murray, Kate Hudson, Zooey Deschanel, Danny McBride, Scott Caan, Leem Lubany, Bruce Willis, Arian Moayed, Taylor Kinney, Glenn Fleshler",United States,2021-07-08,2015,R,106 min,"Comedies, Music & Musicals","When a has-been music producer gets stuck in Afghanistan he discovers a girl with a wonderful voice, then has to find a way to market her talents.",58,1,0,0,0,1970-01-01,1970-01-01,1970-01-01
66,Awon Boyz,Tolulope Itegboje,No Data,No Data,2021-07-07,2019,TV-MA,38 min,"Documentaries, International Movies",This documentary takes a close look at the lives and passions of the men and boys who hustle or run with a gang on the streets of Lagos.,39,1,0,0,0,1970-01-01,1970-01-01,1970-01-01
67,Brick Mansions,Camille Delamarre,"Paul Walker, David Belle, RZA, Gouchy Boy, Catalina Denis, Ayisha Issa, Carlo Rota, Andreas Apergis, Richard Zeman, Robert Maillet","France, Canada, United States, Spain",2021-07-07,2014,PG-13,90 min,"Action & Adventure, International Movies",An undercover police detective partners with an ex-convict to take down a drug kingpin amid grime and crime in a walled-off Detroit housing project.,67,1,0,0,0,1970-01-01,1970-01-01,1970-01-01
68,Major Grom: Plague Doctor,Oleg Trofim,"Tikhon Zhiznevskiy, Lyubov Aksyonova, Alexei Maklakov, Aleksandr Seteykin, Sergei Goroshko, Dmitriy Chebotarev, Mikhail Evlanov, Oleg Chugunov, Vitali Khayev, Anton Bogdanov, Nikita Kologrivy, Yuriy Nasonov",No Data,2021-07-07,2021,TV-MA,138 min,"Action & Adventure, International Movies","When a masked vigilante’s killing spree throws a city into chaos, a renegade detective and his rookie partner are the only ones who can stop it.",67,1,0,0,0,1970-01-01,1970-01-01,1970-01-01
69,Mama Drama,Seyi Babatope,"Osas Ighodaro, Kunle Remi, Kehinde Bankole, Femi Adebayo, Shaffy Bello, Adunni Ade, Chinyere Wilfred, Olive Emodi, Rekiya Attah, Opeyemi Ayeola",No Data,2021-07-07,2020,TV-MA,105 min,"Dramas, International Movies","After years of fertility issues and her mother-in-law's nagging, a woman hires her assistant as a surrogate. But things don’t go as smoothly as planned.",39,1,0,0,0,1970-01-01,1970-01-01,1970-01-01
70,Three Thieves,Udoka Oyeka,"Koye Kekere Ekun, Shawn Faqua, Frank Donga, Lucianne Akpabio, Shaffy Bello, Angel Unigwe, Kalu Ikeagwu, Enado Odigie, Wofai Egu Ewa, Eric Obinna",No Data,2021-07-07,2019,TV-14,108 min,"Comedies, International Movies","Frustrated at work, three young men use a case of mistaken identity to pull off a seemingly simple crime – but their scheme comically unravels.",40,1,0,0,0,1970-01-01,1970-01-01,1970-01-01
71,A Land Imagined,Yeo Siew Hua,"Peter Yu, Liu Xiaoyi, Guo Yue, Ishtiaque Zico, Jack Tan","France, Netherlands, Singapore",2021-07-06,2019,TV-MA,95 min,"Dramas, International Movies",A cop in Singapore investigates the disappearance of a Chinese migrant construction worker who spent sleepless nights playing a mysterious video game.,59,1,0,0,0,1970-01-01,1970-01-01,1970-01-01
72,Rehmataan,"Rajveer Singh Maan, Harpeet Singh","Guggu Gill, Sukhjinder Shera, Surinder Shinda, Deep Dhillon, Jasmine Jassi, Gurvinder Brar, Razia Sukhvir, Raj Virk",India,2021-07-06,2012,TV-14,116 min,"Dramas, International Movies, Romantic Movies","As unemployment, drug addiction and corruption plague a society, this drama depicts the people who believe there’s still good in the world.",12,1,0,0,0,1970-01-01,1970-01-01,1970-01-01
73,Rise: Ini Kalilah,"Saw Teong Hin, Nik Amir Mustapha, M.S. Prem Nath","Remy Ishak, Mira Filzah, Jack Tan, Sangeeta Krishnasamy, Shashi Tharan, Mark O'Dea, Jenn Chia, Sharifah Sakinah",Malaysia,2021-07-06,2018,TV-PG,101 min,"Dramas, International Movies","Inspired by Malaysia's 14th General Election, this film trails six individuals and the obstacles they face in the days leading up to the historic event.",36,1,0,0,0,1970-01-01,1970-01-01,1970-01-01
74,Si Doel the Movie 2,Rano Karno,"Maudy Koesnaedi, Rano Karno, Cornelia Agatha, Mandra Naih, Aminah Tjendrakasih, Suty Karno, Adam Jagwani",Indonesia,2021-07-06,2019,TV-G,95 min,"Dramas, International Movies","As Sarah and her child look to settle in Jakarta, Zaenab searches for answers and gets caught between defending her marriage to Doel or letting it go.",42,1,0,0,0,1970-01-01,2021-07-01,1970-01-01
75,Ujala,Naresh Saigal,"Mala Sinha, Shammi Kapoor, Raaj Kumar, Leela Chitnis, Dhumal, Kumkum",India,2021-07-06,1959,TV-14,143 min,"Dramas, International Movies","An honest man dreams of a better life for his family, but a childhood friend leads him into a world of crime that keeps happiness just out of reach.",40,1,0,0,0,1970-01-01,1970-01-01,1970-01-01
76,Haseen Dillruba,Vinil Mathew,"Taapsee Pannu, Vikrant Massey, Harshvardhan Rane, Aditya Srivastava, Ashish Verma, Yamini Das, Daya Shankar Pandey",India,2021-07-02,2021,TV-MA,136 min,"International Movies, Romantic Movies, Thrillers","Under investigation as a suspect in her husband’s murder, a wife reveals details of their thorny marriage that seem to only further blur the truth.",65,1,0,0,0,1970-01-01,2021-07-01,1970-01-01
77,Holiday on Mars,Neri Parenti,"Christian De Sica, Massimo Boldi, Lucia Mascino, Milena Vukotic, Paola Minaccioni, Herbert Ballerina, Denise Tantucci, Fiammetta Cicogna, Francesco Bruni, Alessandro Bisegna",No Data,2021-07-02,2020,TV-MA,94 min,"Comedies, International Movies",A scoundrel's mission to escape his family and remarry on Mars is hilariously scrubbed when a mishap with a black hole turns his son into an old man.,43,1,0,0,0,1970-01-01,1970-01-01,1970-01-01
78,Snowpiercer,Bong Joon Ho,"Chris Evans, Song Kang-ho, Ed Harris, John Hurt, Tilda Swinton, Jamie Bell, Octavia Spencer, Ewen Bremner, Alison Pill, Adnan Haskovic, Vlad Ivanov, Ko A-sung, Luke Pasqualino","South Korea, Czech Republic",2021-07-02,2013,R,126 min,"Action & Adventure, Cult Movies, International Movies",The Earth's remaining inhabitants are confined to a single train circling the globe as revolution brews among the class-divided cars.,81,1,0,0,0,1970-01-01,1970-01-01,1970-01-01
79,The 8th Night,Kim Tae-hyung,"Lee Sung-min, Park Hae-joon, Kim You-jung, Nam Da-reum, Choi Jin-ho, Kim Dong-yeong, Lee Eal",South Korea,2021-07-02,2021,TV-14,116 min,"Horror Movies, International Movies, Thrillers","With prayer beads in one hand and an ax in the other, a monk hunts down a millennia-old spirit that's possessing humans and unleashing hell on Earth.",59,1,0,0,0,1970-01-01,1970-01-01,1970-01-01
80,Winchester,"Michael Spierig, Peter Spierig","Helen Mirren, Jason Clarke, Sarah Snook, Angus Sampson, Finn Scicluna-O'Prey, Laura Brent, Tyler Coppin, Eamon Farren, Bruce Spence","Australia, United States",2021-07-02,2018,PG-13,100 min,"Horror Movies, Sci-Fi & Fantasy",The heiress to a vast firearms fortune constructs a mansion with a maze-like interior to ward off the spirits of those killed by her family's product.,65,1,0,0,0,1970-01-01,1970-01-01,1970-01-01
81,6 Bullets,Ernie Barbarash,"Jean-Claude Van Damme, Joe Flanigan, Anna-Louise Plowman, Charlotte Beaumont, Steve Nicolson, Uriel Emil, Louis Dempsey, Mark Lewis, Kristopher Van Varenberg, Bianca Brigitte VanDamme",United States,2021-07-01,2012,R,115 min,Action & Adventure,A former mercenary is lured back into the dangerous business of finding missing children when the daughter of a mixed martial arts champ is kidnapped.,61,1,0,0,0,1970-01-01,1970-01-01,1970-01-01
82,Air Force One,Wolfgang Petersen,"Harrison Ford, Gary Oldman, Glenn Close, Wendy Crewson, Paul Guilfoyle, William H. Macy, Liesel Matthews, Dean Stockwell, Xander Berkeley, Bill Smitrovich, Elya Baskin, David Vadim, Tom Everett, Spencer Garrett, Philip Baker Hall","United States, Germany",2021-07-01,1997,R,125 min,Action & Adventure,"When terrorists hijack Air Force One with the president and his family on board, the commander-in-chief takes matters into his own well-trained hands.",75,1,0,0,0,1970-01-01,1970-01-01,1970-01-01
83,Audible,Matt Ogens,No Data,No Data,2021-07-01,2021,PG-13,39 min,"Documentaries, Sports Movies","Shaken by a friend's suicide, a Deaf high school football player copes with family and relationships while anticipating his final homecoming game.",51,1,0,0,0,1970-01-01,2021-07-01,1970-01-01
84,Austin Powers in Goldmember,Jay Roach,"Mike Myers, Beyoncé Knowles-Carter, Seth Green, Michael York, Robert Wagner, Mindy Sterling, Verne Troyer, Michael Caine, Fred Savage",United States,2021-07-01,2002,PG-13,94 min,"Action & Adventure, Comedies","The world's most shagadelic spy continues his fight against the diabolical Dr. Evil, who's teamed with a new foe: 1970s villain Goldmember.",74,1,0,0,0,1970-01-01,2021-07-01,1970-01-01
85,Austin Powers: International Man of Mystery,Jay Roach,"Mike Myers, Elizabeth Hurley, Michael York, Mimi Rogers, Robert Wagner, Seth Green, Fabiana Udenio, Mindy Sterling, Paul Dillon, Charles Napier, Will Ferrell",United States,2021-07-01,1997,PG-13,90 min,Comedies,"A swingin' fashion photographer by day and a groovy British secret agent by night, superspy Austin Powers must foil the sinister schemes of Dr. Evil.",78,1,0,0,0,1970-01-01,2021-07-01,1970-01-01
86,Austin Powers: The Spy Who Shagged Me,Jay Roach,"Mike Myers, Heather Graham, Michael York, Robert Wagner, Rob Lowe, Seth Green, Mindy Sterling, Verne Troyer, Elizabeth Hurley, Will Ferrell",United States,2021-07-01,1999,PG-13,95 min,"Action & Adventure, Comedies, Sci-Fi & Fantasy","When diabolical genius Dr. Evil travels back in time to steal superspy Austin Powers's ""mojo,"" Austin must return to the swingin' '60s himself.",76,1,0,0,0,1970-01-01,1970-01-01,1970-01-01
87,Boogie Nights,Paul Thomas Anderson,"Mark Wahlberg, Burt Reynolds, Julianne Moore, Heather Graham, William H. Macy, Don Cheadle, Philip Seymour Hoffman, Luis Guzmán, John C. Reilly, Philip Baker Hall",United States,2021-07-01,1997,R,155 min,"Comedies, Dramas, Independent Movies",A well-endowed busboy is taken in by a tight-knit group of 1970s porn actors and transforms himself into skin flick celebrity Dirk Diggler.,81,1,0,0,0,1970-01-01,1970-01-01,1970-01-01
88,Congo,Frank Marshall,"Dylan Walsh, Laura Linney, Ernie Hudson, Tim Curry, Joe Don Baker, Grant Heslov, Adewale Akinnuoye-Agbaje, Mary Ellen Trainor",United States,2021-07-01,1995,PG-13,108 min,"Action & Adventure, Thrillers","Eight people, some with ulterior motives, go on an expedition to the Congo, where they find a lost city protected by killer apes.",65,1,0,0,0,1970-01-01,1970-01-01,1970-01-01
89,Dennis the Menace,Nick Castle,"Walter Matthau, Mason Gamble, Joan Plowright, Christopher Lloyd, Lea Thompson, Robert Stanton, Paul Winfield",United States,2021-07-01,1993,PG,96 min,"Children & Family Movies, Comedies","The bane of George's life is a little boy named Dennis. But when a cunning thief attempts to rob George, Dennis may be the only one who can stop him.",65,1,0,0,0,1970-01-01,1970-01-01,1970-01-01
90,Dreamy Eyes,Victor Vu,"Tran Nghia, Truc Anh, Tran Phong, Khanh Van, Nguyen Lam Thao Tam, Hung Vo, Pham Dinh Thai Ngan, Lam Bao Danh, Nguyen Ngoc Huyen Dieu, Truong Hoang Hanh Thy, Mona Bao Tien, Mai Cat Vi",Vietnam,2021-07-01,2019,TV-14,117 min,"Dramas, International Movies, Romantic Movies","Through heartbreak and betrayal, Ngan's unrequited love for his childhood best friend Hà La endures for a generation in this sweeping romance.",55,1,0,0,0,1970-01-01,1970-01-01,1970-01-01
91,Dynasty Warriors,Chow Hin Yeung Roy,"Wang Kai, Louis Koo, Han Geng, Tony Yang, Carina Lau, NaZha, Lam Suet, Justin Cheung, Ray Lui, Yuan Wenkang",No Data,2021-07-01,2021,TV-14,118 min,"Action & Adventure, International Movies","Warlords, warriors and statesmen wage a battle for supremacy in this fantasy tale based on the hit video games and the ""Romance of the Three Kingdoms.""",56,1,0,0,0,1970-01-01,1970-01-01,1970-01-01
92,Kung Fu Panda,"John Stevenson, Mark Osborne","Jack Black, Dustin Hoffman, Angelina Jolie, Ian McShane, Seth Rogen, Lucy Liu, Jackie Chan, David Cross, Randall Duk Kim, James Hong","United States, China",2021-07-01,2008,PG,94 min,"Children & Family Movies, Comedies","When a powerful villain comes after peace in his valley, a lazy panda rises to the challenge to realize his destiny and become a kung fu warrior.",83,1,0,0,0,1970-01-01,1970-01-01,1970-01-01
93,Kung Fu Panda 2,Jennifer Yuh Nelson,"Jack Black, Angelina Jolie, Dustin Hoffman, Gary Oldman, Seth Rogen, Lucy Liu, Jackie Chan, David Cross, James Hong, Michelle Yeoh","United States, China",2021-07-01,2011,PG,93 min,"Children & Family Movies, Comedies","With his fists up and belly full, Po embarks on a perilous journey with the Furious Five to take on a frightful new enemy and save the art of kung fu.",79,1,0,0,0,1970-01-01,1970-01-01,1970-01-01
94,Memoirs of a Geisha,Rob Marshall,"Zhang Ziyi, Ken Watanabe, Koji Yakusho, Michelle Yeoh, Kaori Momoi, Youki Kudoh, Gong Li, Cary-Hiroyuki Tagawa, Mako Iwamatsu, Navia Nguyen, Karl Yune","France, Japan, United States",2021-07-12,2005,PG-13,145 min,"Dramas, Romantic Movies","Sold to a geisha house as a child, a fisherman’s daughter becomes the most sought-after geisha in Kyoto, but rivalries threaten the destiny she desires.",76,1,0,0,0,1970-01-01,2021-06-15,1970-01-01
95,Midnight Run,Martin Brest,"Robert De Niro, Charles Grodin, Yaphet Kotto, John Ashton, Dennis Farina, Joe Pantoliano, Richard Foronjy, Robert Miranda, Jack Kehoe, Wendy Phillips, Philip Baker Hall",United States,2021-07-01,1988,R,126 min,"Action & Adventure, Classic Movies, Comedies",A cop-turned-bounty hunter runs into trouble as he races from New York to Los Angeles with a fugitive accountant who embezzled millions from the mob.,76,1,0,0,0,1970-01-01,1970-01-01,1970-01-01
96,Mortal Kombat,Paul W.S. Anderson,"Christophe Lambert, Robin Shou, Linden Ashby, Cary-Hiroyuki Tagawa, Bridgette Wilson-Sampras, Talisa Soto, Trevor Goddard, Chris Casamassa, François Petit, Keith Cooke",United States,2021-07-01,1995,PG-13,101 min,"Action & Adventure, Sci-Fi & Fantasy",Three fighters travel to the mystical realm of Outworld to test their might in a tournament against an evil demon with plans to take over the world.,69,1,0,0,0,1970-01-01,1970-01-01,1970-01-01
97,Mother's Day,Garry Marshall,"Jennifer Aniston, Kate Hudson, Julia Roberts, Jason Sudeikis, Britt Robertson, Timothy Olyphant, Margo Martindale, Shay Mitchell, Jack Whitehall, Hector Elizondo, Jon Lovitz, Larry Miller, Cameron Esposito, Aasif Mandvi, Jennifer Garner, Sarah Chalke",United States,2021-07-01,2016,PG-13,118 min,"Comedies, Dramas",The trials and tribulations of several Atlanta moms (and one clueless widower dad) make it a Mother's Day to remember in this ensemble comedy.,69,1,0,1,0,1970-01-01,2020-05-20,1970-01-01
98,No Strings Attached,Ivan Reitman,"Natalie Portman, Ashton Kutcher, Kevin Kline, Cary Elwes, Greta Gerwig, Lake Bell, Olivia Thirlby, Ludacris, Jake Johnson, Mindy Kaling, Talia Balsam","United States, United Kingdom",2021-07-01,2011,R,109 min,"Comedies, Romantic Movies","""Friends with benefits"" Emma and Adam are fine with their open relationship ... until those pesky little things called feelings enter the picture.",74,1,0,1,0,1970-01-01,1970-01-01,1970-01-01
99,Not Another Teen Movie,Joel Gallen,"Chyler Leigh, Chris Evans, Jaime Pressly, Eric Christian Olsen, Mia Kirshner, Deon Richmond, Eric Jungmann, Ron Lester, Cody McMains, Sam Huntington, Lacey Chabert, JoAnna Garcia Swisher, Samm Levine, Cerina Vincent",United States,2021-07-01,2001,R,89 min,Comedies,"On a bet, a gridiron hero at John Hughes High School sets out to turn a bespectacled artist into a prom queen in this outrageous parody.",69,1,0,1,0,1970-01-01,1970-01-01,1970-01-01
