title,director,director gender,distributor,id,rating score,title_imdb,release_date,directors,cast,countries,languages,rating,imDbRating,imDbRatingVotes,metacriticRating,budget,cumulativeWorldwideGross,keywords,awards
2 Alone in Paris,Ramzy Bedia,male,Netflix,tt1077097,,2 Alone in Paris,2008-06-25,"Ramzy Bedia, Eric Judor","Ramzy Bedia, Eric Judor, Hafid F. Benamar",France,French,,5.4,2527.0,,,"$9,285,568","two word title,curling,parallel world,deserted highway,chase",
Wind River,Taylor Sheridan,male,,tt0135707,,,,,,,,,,,,,,,
C Kkompany,Sachin Yardi,male,Balaji Motion Pictures,tt1170399,,C Kkompany,2008-08-29,Sachin Yardi,"Tusshar Kapoor, Anupam Kher, Rajpal Naurang Yadav",India,Hindi,Not Rated,5.5,1164.0,,,"$1,135,200",,
He's All That,Mark Waters,male,"Ethea Entertainment, Miramax, Netflix",tt4590256,4/10,He's All That,2021-08-27,Mark Waters,"Addison Rae, Tanner Buchanan, Madison Pettis",USA,English,TV-14,4.3,24661.0,36.0,,,"remake,makeover,woman,school,gender swap",
Koi Aap Sa,Partho Mitra,male,,tt0488840,,,,,,,,,,,,,,,
Krishna Cottage,Santram Varma,male,Balaji Motion Pictures,tt0408976,,Krishna Cottage,2004-04-02,Santram Varma,"Sohail Khan, Isha Koppikar, Anita Hassanandani Reddy",India,Hindi,Not Rated,5.1,1197.0,,,,cottage,
Kucch To Hai,Anurag Basu,male,Shri Siddhivinayak Films,tt0348662,,Kucch To Hai,2003-01-24,"Anurag Basu, Anil v Kumar","Tusshar Kapoor, Esha Deol, Ramesh Bhatkar",India,Hindi,Not Rated,4.3,925.0,,,,"giallo,indian giallo,bollywood giallo,ptsd post traumatic stress disorder,co ed","Awards, 2 nominations"
Kyaa Kool Hai Hum,Sangeeth Sivan,male,Balaji Telefilms,tt0456500,,Kyaa Kool Hai Hum,2005-05-06,Sangeeth Sivan,"Tusshar Kapoor, Riteish Deshmukh, Isha Koppikar",India,Hindi,Unrated,6.1,3567.0,,,,"tape over mouth,indian sex comedy,female police officer,male police officer,woman wears a uniform","Awards, 1 win & 6 nominations"
Kyaa Kool Hain Hum 3,,,Balaji Motion Pictures,tt5290620,0,Kyaa Kool Hain Hum 3,2016-01-22,Umesh Ghadge,"Tusshar Kapoor, Aftab Shivdasani, Krishna Abhishek",India,Hindi,,1.9,4378.0,,,"$4,429,709","erect penis,erection,masturbation,male masturbation,horniness",
Kyaa Super Kool Hain Hum,Sachin Yardi,male,Netflix,tt2027138,,Kyaa Super Kool Hain Hum,2012-07-27,Sachin Yardi,"Riteish Deshmukh, Tusshar Kapoor, Neha Sharma",India,Hindi,Not Rated,5.0,3953.0,,,"$155,357","series,indian sex comedy","Awards, 2 wins & 8 nominations"
Kyo Kii... Main Jhuth Nahin Bolta,David Dhawan,male,Balaji Motion Pictures,tt0297241,,Kyo Kii... Main Jhuth Nahin Bolta,2001-09-21,David Dhawan,"Govinda, Sushmita Sen, Rambha",India,Hindi,Not Rated,5.3,2253.0,,,"$2,846,159","change of heart,love,father son relationship,gangster,husband wife relationship","Awards, 2 nominations"
Once Upon a Time in Mumbaai,Milan Luthria,male,Balaji Motion Pictures,tt1395054,,Once Upon a Time in Mumbaai,2010-07-30,Milan Luthria,"Ajay Devgn, Emraan Hashmi, Kangana Ranaut",India,Hindi,Not Rated,7.4,17741.0,,,"$102,382","police,gangster,police officer,actress,smuggler","Awards, 17 wins & 45 nominations"
Ragini MMS,Pawan Kripalani,male,"ALT Entertainment, Balaji Telefilms, iRock Films",tt1890513,,Ragini MMS,2011-05-13,Pawan Kripalani,"Kainaz Motivala, Rajkummar Rao, Rajat Kaul",India,"Hindi, Marathi, English",Not Rated,5.1,2667.0,,,,"supernatural power,psychotronic film,camera,voyeurism,ghost","Awards, 4 nominations"
Ragini MMS 2,Bhushan Patel,male,Balaji Motion Pictures,tt2609218,,Ragini MMS 2,2014-03-21,Bhushan Patel,"Sunny Leone, Saahil Prem, Parvin Dabas",India,"English, Hindi, Marathi",Not Rated,3.9,2920.0,,,"$6,534,865","pornstar,hot,erotica,film director,possession","Awards, 5 wins & 4 nominations"
Shootout at Lokhandwala,Apoorva Lakhia,male,Netflix,tt0811066,,Shootout at Lokhandwala,2007-05-25,Apoorva Lakhia,"Amitabh Bachchan, Sanjay Dutt, Suniel Shetty",India,Hindi,Not Rated,7.1,10274.0,,,"$9,291,694","police,gangster,shootout,1990s,extortion","Awards, 4 wins & 7 nominations"
The Dirty Picture,Milan Luthria,male,Netflix,tt1954206,100%,The Dirty Picture,2011-12-02,Milan Luthria,"Vidya Balan, Emraan Hashmi, Tusshar Kapoor",India,"Hindi, Tamil, English",Not Rated,6.6,9740.0,,"₹300,000,000 (estimated)","$341,767","sex,film actor,ambition,film industry,egg","Awards, 34 wins & 27 nominations"
"Bob Ross: Happy Accidents, Betrayal & Greed",,,,tt14539744,,,,,,,,,,,,,,,
Really Love,,,Netflix,tt8722624,6.5/10,,,,,,,,,,,,,,
The Old Ways,,,,tt12829958,7.2/10,,,,,,,,,,,,,,
The Water Man,David Oyelowo,male,,tt4779326,78%,,,,,,,,,,,,,,
The Witcher: Nightmare of the Wolf,Kwang Il Han,,Netflix,tt11657662,100%,The Witcher: Nightmare of the Wolf,2021-08-23,Kwang Il Han,"Theo James, Mary McDonnell, Lara Pulver","South Korea, USA",English,TV-MA,7.2,43219.0,67.0,,,"magic,monster,adult animation,based on novel,threat","Awards, 1 nomination"
Gunshot,S. V. Krishna Reddy,male,,tt1579550,,,,,,,,,,,,,,,
Man in Love,Han Dong-wook,male,Next Entertainment World,tt3479250,,,,,,,,,,,,,,,
A Faraway Land,,,,tt6281994,,,,,,,,,,,,,,,
Like Crazy,Drake Doremus,male,Paramount Vantage,tt1758692,6.6/10,Like Crazy,2012-01-27,Drake Doremus,"Felicity Jones, Anton Yelchin, Jennifer Lawrence",USA,English,PG-13,6.6,61799.0,68.0,"$250,000 (estimated)","$3,852,409","immigration,student visa,long distance relationship,airport,girlfriend","Awards, 9 wins & 7 nominations"
Black Island,Miguel Alexandre,male,Netflix,tt12881516,,Black Island,2021-08-18,Miguel Alexandre,"Jolene Andersen, Susan Angelo, Mercedes Müller",Germany,German,TV-MA,5.2,2844.0,,,,"teenage boy,female teacher male student affair,school,island,female teacher male student sex",
Bombay,Mani Ratnam,male,Netflix,tt0112553,,Bombay,1995-03-10,Mani Ratnam,"Arvind Swamy, Manisha Koirala, Nassar",India,Tamil,Not Rated,8.1,12720.0,,,,"year 1993,year 1992,1990s,mumbai,bombay","Awards, 13 wins & 1 nomination"
O Kadhal Kanmani,Mani Ratnam,male,Studio Green,tt4271820,,OK Kanmani,2015-04-17,Mani Ratnam,"Dulquer Salmaan, Nithya Menen, Prakash Raj",India,"Tamil, Telugu, Malayalam",Unrated,7.4,5941.0,,,"$81,340","alzheimer&apos;s disease,animated opening credits,boyfriend girlfriend relationship,love,couple","Awards, 3 wins & 13 nominations"
The Secret Diary of an Exchange Student,,,Netflix,tt11594766,,,,,,,,,,,,,,,
Walk of Shame,Steven Brill,male,Big Bang Media,tt2463288,15%,Walk of Shame,2014-05-01,Steven Brill,"Elizabeth Banks, James Marsden, Gillian Jacobs",USA,"English, Hebrew",R,6.0,54564.0,25.0,,"$8,122,990","female news anchor,female reporter,one night stand,yellow dress,high heels",
The Piano,Jane Campion,female,MOKÉP,tt0107822,90%,The Piano,1994-02-11,Jane Campion,"Holly Hunter, Harvey Keitel, Sam Neill","Australia, France","English, British Sign Language, Maori",R,7.5,88345.0,89.0,"$7,000,000 (estimated)","$40,185,556","piano,mute woman,sex scene,finger cut off,severed finger","Won 3 Oscars, 64 wins & 56 nominations total"
Unroyal,Moses Inwang,male,Matilda Lambert Productions,tt15526612,,Unroyal,2020-03-20,Moses Inwang,"Kingsley Abasili, Weme Charity Ada, Femi Adebayo",Nigeria,English,,5.4,12.0,,,,,
Beckett,Ferdinando Cito Filomarino,male,Netflix,tt10230994,5.3/10,Beckett,2021-08-13,Ferdinando Cito Filomarino,"John David Washington, Boyd Holbrook, Vicky Krieps","Italy, Brazil, Greece","English, Greek",TV-MA,5.6,26034.0,52.0,,,"conspiracy,trap,murder,tragic event,violence","Awards, 1 nomination"
Monster Hunter: Legends of the Guild,,,Netflix,tt9174358,,Monster Hunter: Legends of the Guild,2021-08-12,Steve Yamamoto,"Dante Basco, Erica Lindbeck, Brando Eaton","USA, Japan","English, Japanese, Italian, Portuguese, French, Spanish",TV-14,5.1,1301.0,,,,"hunter,hunting,dragon,monster,kaiju",
Brother Jekwu,Charles Uwagbai,male,Netflix,tt8857316,,Brother Jekwu,,Charles Uwagbai,"Derrick Aduwo, Kevin Airende, Eunice Anyonje Amatika",Nigeria,English,,,,,,,,
The Kissing Booth 3,Vince Marcello,male,Netflix,tt12783454,3.6/10,The Kissing Booth 3,2021-08-11,Vince Marcello,"Joey King, Joel Courtney, Jacob Elordi","UK, USA",English,TV-14,4.7,16822.0,36.0,,,"third part,numbered sequel,sequel,panties,first kiss",
The Railway Man,Jonathan Teplitzky,male,Plaion,tt2058107,6.4/10,The Railway Man,2014-05-23,Jonathan Teplitzky,"Colin Firth, Nicole Kidman, Stellan Skarsgård","Switzerland, UK, Australia","English, Japanese",R,7.1,40308.0,59.0,"$18,000,000 (estimated)","$24,174,885","physical torture,pow camp,based on true story,reference to adolf hitler,japanese occupation","Awards, 7 wins & 20 nominations"
Quartet,Dustin Hoffman,male,Netflix,tt1441951,6.6/10,Quartet,2013-03-01,Dustin Hoffman,"Maggie Smith, Michael Gambon, Billy Connolly",UK,"English, Italian, Polish, French",PG-13,6.8,20378.0,64.0,"$11,000,000 (estimated)","$59,520,298","reference to giuseppe verdi,retirement,opera,senility,divorced couple","Awards, 4 wins & 5 nominations"
The Paper Tigers,,,,tt6060444,7.1/10,,,,,,,,,,,,,,
Quam's Money,Kayode Kasum,male,FilmOne,tt13113544,,Quam's Money,2020-12-11,Kayode Kasum,"Falz, Nse Ikpe-Etim, Uchemba Williams",Nigeria,English,,3.8,68.0,,,,,
The Swarm,Irwin Allen,male,Warner Bros.,tt0078350,3.8/10,,,,,,,,,,,,,,
Vivo,Kirk DeMicco,male,Netflix,tt6338498,86,Vivo,2021-08-06,"Kirk DeMicco, Brandon Jeffords","Lin-Manuel Miranda, Ynairaly Simo, Zoe Saldana",USA,"English, Spanish",PG,6.6,18671.0,66.0,,"$280,871","monkey,singing,friendship,concert,epic","Awards, 1 win & 17 nominations"
Chennai Express,Rohit Shetty,male,Netflix,tt2112124,5.3/10,Chennai Express,2013-08-08,Rohit Shetty,"Deepika Padukone, Shah Rukh Khan, Sathyaraj",India,"Hindi, Tamil, English, Marathi",Not Rated,6.0,54408.0,45.0,,"$10,234,653","temple,train ride,cricket the sport,cell phone,cross country trip","Awards, 32 wins & 55 nominations"
Lady Boss: The Jackie Collins Story,,,,,,,,,,,,,,,,,,,
Tango Feroz,Marcelo Piñeyro,male,,tt0108291,,Wild Tango,1997-03-21,Marcelo Piñeyro,"Fernán Mirás, Cecilia Dopazo, Imanol Arias","Argentina, Spain",Spanish,R,6.7,1595.0,,,"$44,376","operation condor,reference to che guevara,nude dancing,outdoor sex,male wears underwear","Awards, 3 wins & 8 nominations"
'76,Izu Ojukwu,male,YouTube,tt2385126,,'76,2016-11-25,Izu Ojukwu,"Efetobore Afatakpa, Tunde Alabi, Bisi Ariyo",Nigeria,"English, Ibo",Not Rated,5.6,231.0,,"$3,000,000 (estimated)",,"soldier,timeframe 1970s,punctuation in title,apostrophe in title","Awards, 2 wins & 3 nominations"
Aftermath,Paprika Steen,female,Hulu,tt4581576,5.3/10,,,,,,,,,,,,,,
Heavy,James Mangold,male,Lionsgate Home Entertainment,tt0113280,86%,Heavy,1996-06-05,James Mangold,"Pruitt Taylor Vince, Liv Tyler, Shelley Winters",USA,English,R,6.8,5127.0,75.0,,"$941,414","loneliness,hallucination,thirty something,domineering mother,socially awkward protagonist","Awards, 3 wins & 3 nominations"
Beethoven,Brian Levant,male,,tt0448375,,,,,,,,,,,,,,,
Beethoven's 2nd,Rod Daniel,male,Universal Pictures,tt0106375,4.5/10,Beethoven's 2nd,1993-12-17,Rod Daniel,"Charles Grodin, Bonnie Hunt, Nicholle Tom",USA,English,PG,4.9,28101.0,,"$15,000,000 (estimated)","$118,243,066","dog movie,saint bernard dog,good versus evil,evil woman,boy and his dog","Nominated for 1 Oscar, 5 nominations total"
Beowulf,Robert Zemeckis,male,Netflix,tt0442933,6.5/10,Beowulf,2007-11-16,Robert Zemeckis,"Ray Winstone, Crispin Glover, Angelina Jolie","USA, UK","English, Old English",PG-13,6.3,168062.0,59.0,"$150,000,000 (estimated)","$196,393,745","adult animation,beowulf character,king hrothgar character,character name as title,psychotronic film","Awards, 3 wins & 19 nominations"
Boyka: Undisputed,Isaac Florentine,male,Avi Lerner,tt3344680,,Boyka: Undisputed,2017-07-27,Todor Chapkanov,"Scott Adkins, Teodora Duhovnikova, Alon Aboutboul","Bulgaria, USA",,R,6.9,29136.0,,,"$413,334","franchise,accidental death,criminal boss,sequel,redemption","Awards, 2 wins"
Catch Me If You Can,Steven Spielberg,male,Netflix,tt0264464,7.9/10,Catch Me If You Can,2002-12-25,Steven Spielberg,"Leonardo DiCaprio, Tom Hanks, Christopher Walken","USA, Canada","English, French",PG-13,8.1,955218.0,75.0,"$52,000,000 (estimated)","$352,114,312","impostor,con,deception,fraud,forgery","Top rated movie #176 | Nominated for 2 Oscars, 16 wins & 46 nominations total"
Deep Blue Sea,Renny Harlin,male,Warner Bros.,tt0149261,5.7/10,Deep Blue Sea,1999-07-28,Renny Harlin,"Thomas Jane, Saffron Burrows, Samuel L. Jackson","USA, Mexico","English, Spanish",R,5.9,133843.0,54.0,"$60,000,000 (estimated)","$164,648,142","research,experiment,shark,alzheimer&apos;s disease,scientist","Awards, 2 wins & 4 nominations"
Ferris Bueller's Day Off,John Hughes,male,Paramount Pictures,tt0091042,7.7/10,Ferris Bueller's Day Off,1986-06-11,John Hughes,"Matthew Broderick, Alan Ruck, Mia Sara",USA,"English, German",PG-13,7.8,354157.0,61.0,"$6,000,000 (estimated)","$70,720,215","high school,anti hero,breaking the fourth wall,talking to the camera,truancy","Awards, 2 wins & 1 nomination"
Five Feet Apart,Justin Baldoni,male,Lionsgate,tt6472976,5.7/10,Five Feet Apart,2019-03-15,Justin Baldoni,"Haley Lu Richardson, Cole Sprouse, Moises Arias",USA,"English, French",PG-13,7.2,65066.0,53.0,"$7,000,000 (estimated)","$91,527,795","gay character,distance in title,teenager,teenage boy,teenage girl","Awards, 3 wins & 8 nominations"
Freedomland,Joe Roth,male,Columbia Pictures,tt0349467,4.6/10,Freedomland,2006-02-17,Joe Roth,"Julianne Moore, Samuel L. Jackson, Edie Falco",USA,"English, Italian",R,5.1,16337.0,43.0,"$37,665,000 (estimated)","$14,655,628","racism,racist,african american,traumatic experience,search for a missing person","Awards, 2 wins & 3 nominations"
Good Luck Chuck,Mark Helfrich,male,Netflix,tt0452625,3.1/10,Good Luck Chuck,2007-09-21,Mark Helfrich,"Dane Cook, Jessica Alba, Dan Fogler","USA, Canada",English,R,5.6,90520.0,19.0,"$25,000,000 (estimated)","$59,768,495","sex scene,true love,sex in bed,leg spreading,sex on stairs","Awards, 1 win & 3 nominations"
Inception,Christopher Nolan,male,InterCom,tt1375666,87%,Inception,2010-07-16,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page","USA, UK","English, Japanese, French",PG-13,8.8,2307700.0,74.0,"$160,000,000 (estimated)","$836,848,102","dream,ambiguous ending,subconscious,mindbender,surprise ending","Top rated movie #13 | Won 4 Oscars, 157 wins & 220 nominations total"
Magnolia,Paul Thomas Anderson,male,New Line Cinema,tt0175880,83%,Magnolia,2000-01-07,Paul Thomas Anderson,"Tom Cruise, Jason Robards, Julianne Moore",USA,"English, German, French",R,8.0,311256.0,77.0,"$37,000,000 (estimated)","$48,451,803","coincidence,frog rain,cancer,abusive father,fictional game show","Nominated for 3 Oscars, 28 wins & 59 nominations total"
Major Payne,Nick Castle,male,Universal Pictures,tt0110443,33%,Major Payne,1995-03-24,Nick Castle,"Damon Wayans, Michael Ironside, Bam Bam Bigelow",USA,"English, Vietnamese",PG-13,6.2,35680.0,34.0,,"$30,112,050","drill instructor,german shepherd dog,character name as title,army major,young delinquent",
My Girl,Howard Zieff,male,Netflix,tt0102492,5.7/10,My Girl,1991-11-27,Howard Zieff,"Anna Chlumsky, Macaulay Culkin, Dan Aykroyd",USA,English,PG,6.9,81145.0,56.0,"$17,000,000 (estimated)","$59,489,799","best friend,first crush,funeral,receptionist,widower","Awards, 2 wins & 5 nominations"
My Girl 2,Howard Zieff,male,Columbia Pictures,tt0110613,4.9/10,My Girl 2,1994-02-11,Howard Zieff,"Dan Aykroyd, Jamie Lee Curtis, Anna Chlumsky",USA,English,PG,5.3,19899.0,,,"$17,359,799","numbered sequel,teenage protagonist,female protagonist,teenage girl,small town","Awards, 1 win & 2 nominations"
Pineapple Express,David Gordon Green,male,Sony Pictures,tt0910936,6.3/10,Pineapple Express,2008-08-06,David Gordon Green,"Seth Rogen, James Franco, Gary Cole",USA,"English, Cantonese, Korean",R,6.9,338276.0,64.0,"$27,000,000 (estimated)","$101,624,843","stoner,falling downhill,watching tv,man tied up,handcuffed man","Awards, 2 wins & 15 nominations"
Poms,,,Diamond Films,tt5125894,4.9/10,Poms,2019-05-10,Zara Hayes,"Diane Keaton, Jacki Weaver, Celia Weston","UK, USA",English,PG-13,6.0,6375.0,36.0,"$10,000,000 (estimated)","$16,418,218","cheer squad,one word title,youtube video,title directed by female,female friendship","Awards, 2 nominations"
Seabiscuit,Gary Ross,male,Universal Pictures,tt0329575,7.1/10,Seabiscuit,2003-07-25,Gary Ross,"Tobey Maguire, Jeff Bridges, Elizabeth Banks",USA,English,PG-13,7.3,73125.0,72.0,"$87,000,000 (estimated)","$148,336,445","horse movie,horse sport,horse,horse racing,racehorse","Nominated for 7 Oscars, 6 wins & 44 nominations total"
Space Cowboys,Clint Eastwood,male,Warner Bros.,tt0186566,6.8/10,Space Cowboys,2000-08-04,Clint Eastwood,"Clint Eastwood, Tommy Lee Jones, Donald Sutherland",USA,English,PG-13,6.5,81380.0,73.0,"$65,000,000 (estimated)","$128,884,132","space shuttle,astronaut,one last job,old age,satellite","Nominated for 1 Oscar, 4 wins & 9 nominations total"
Team America: World Police,Trey Parker,male,Paramount Pictures,tt0372588,7/10,Team America: World Police,2004-10-15,Trey Parker,"Trey Parker, Matt Stone, Elle Russ","USA, Germany","English, French, Klingon, Korean, Arabic",R,7.2,169155.0,64.0,"$32,000,000 (estimated)","$50,826,898","strong language,swearing,terrorist,arab stereotype,puppetry","Awards, 1 win & 11 nominations"
The Edge of Seventeen,Kelly Fremon Craig,female,STX Entertainment,tt1878870,7.9/10,The Edge of Seventeen,2016-11-18,Kelly Fremon Craig,"Hailee Steinfeld, Haley Lu Richardson, Blake Jenner","USA, China",English,R,7.3,125386.0,77.0,"$9,000,000 (estimated)","$19,370,020","adolescence,high school,coming of age film,schoolgirl,depressed teen","Awards, 8 wins & 29 nominations"
The Haunting in Connecticut 2: Ghosts of Georgia,Tom Elkins,male,Lionsgate,tt1457765,3.6/10,The Haunting in Connecticut 2: Ghosts of Georgia,2013-02-01,Tom Elkins,"Abigail Spencer, Chad Michael Murray, Katee Sackhoff",USA,English,R,5.2,17343.0,26.0,"$9,000,000 (estimated)","$5,127,434","year 1993,supernatural horror,stationmaster,haunted house,slow motion scene",
The Last Boy Scout,Tony Scott,male,Netflix,tt0102266,5.3/10,The Last Boy Scout,1991-12-13,Tony Scott,"Bruce Willis, Damon Wayans, Chelsea Field",USA,English,R,7.0,103099.0,52.0,"$43,000,000 (estimated)","$59,509,925","assassination attempt,car in a swimming pool,neo noir,two man army,polish joke","Awards, 2 nominations"
The Lincoln Lawyer,Brad Furman,male,Lionsgate,tt1189340,83%,The Lincoln Lawyer,2011-03-18,Brad Furman,"Matthew McConaughey, Marisa Tomei, Ryan Phillippe",USA,English,R,7.3,237794.0,63.0,"$40,000,000 (estimated)","$86,752,352","defense lawyer,plot twist,drug rehabilitation,envelope of money,illegal gun purchase","Awards, 1 nomination"
The Losers,Sylvain White,male,Warner Bros.,tt0480255,5.3/10,The Losers,2010-04-23,Sylvain White,"Idris Elba, Zoe Saldana, Jeffrey Dean Morgan","USA, France","English, Spanish, Sanskrit",PG-13,6.3,101374.0,44.0,"$25,000,000 (estimated)","$29,397,654","special forces,revenge,hacking,hijacking,martial arts","Awards, 1 win & 7 nominations"
The Machinist,Brad Anderson,male,Paramount Vantage,tt0361862,6.7/10,The Machinist,2004-12-03,Brad Anderson,"Christian Bale, Jennifer Jason Leigh, Aitana Sánchez-Gijón","Spain, France, UK, USA","English, Spanish",R,7.7,386803.0,61.0,"$5,000,000 (estimated)","$8,203,235","hallucination,insomnia,mental breakdown,paranoia,single mother","Awards, 7 wins & 15 nominations"
The Net,Irwin Winkler,male,InterCom,tt0113957,5.2/10,The Net,1995-07-28,Irwin Winkler,"Sandra Bullock, Jeremy Northam, Dennis Miller",USA,"English, Spanish",PG-13,5.9,67172.0,51.0,"$22,000,000 (estimated)","$110,627,965","computer,identity,identity theft,computer hacker,chat room","Awards, 2 wins"
The Original Kings of Comedy,Spike Lee,male,Hulu,tt0236388,83%,The Original Kings of Comedy,2000-08-18,Spike Lee,"Steve Harvey, D.L. Hughley, Cedric the Entertainer",USA,English,R,6.7,5834.0,73.0,"$13,000,000 (estimated)","$38,182,790","stand up,backstage,master of ceremonies,stand up comedian,comedian","Awards, 3 nominations"
Valentine's Day,Garry Marshall,male,Netflix,tt0817230,4/10,Valentine's Day,2010-02-12,Garry Marshall,"Julia Roberts, Jamie Foxx, Anne Hathaway",USA,"English, Spanish, Russian, Italian",PG-13,5.7,119971.0,34.0,"$52,000,000 (estimated)","$216,528,528","grandmother grandson relationship,grandfather grandson relationship,car,reference to billy jean king,public nudity","Awards, 7 wins & 12 nominations"
The Lost Café,,,,,,,,,,,,,,,,,,,
The Vault,Jaume Balagueró,male,,tt0165526,,,,,,,,,,,,,,,
Eyes of a Thief,Najwa Najjar,female,"Agence Algérienne pour le Rayonnement Culturel (AARC), MACT Productions, Oktober Productions,",tt2993406,,Eyes of a Thief,2014-10-01,Najwa Najjar,"Kal Naga, Souad Massi, Suhail Haddad","Occupied Palestinian Territory, France, Algeria",Arabic,Not Rated,6.5,460.0,,"$1,200,000 (estimated)",,"pipes,bomb,israeli army,palestine,israel","Awards, 2 wins"
Rurouni Kenshin: The Beginning,Keishi Ōtomo,male,Warner Bros.,tt11991748,,Rurouni Kenshin: Final Chapter Part II - The Beginning,2021-06-04,Keishi Otomo,"Takeru Satoh, Kasumi Arimura, Yôsuke Eguchi",Japan,Japanese,TV-MA,7.4,8473.0,,,"$21,318,560","secret,katana sword,katana,live action remake of anime,kyoto japan",
The Last Mercenary,Mel Welles,male,,tt0063037,,,,,,,,,,,,,,,
Flower Girl,Michelle Bello,female,YouTube,tt2662230,,Flower Girl,2013-02-13,Michelle Bello,"Damilola Adegbite, Angela Adiele, Ahide Adum",Nigeria,English,,6.0,109.0,,"$1,000,000 (estimated)",,star,
Resort to Love,Steven Tsuchida,male,Netflix,tt12929990,,,,,,,,,,,,,,,
Bartkowiak,,,,tt14315566,,,,,,,,,,,,,,,
Department,Ram Gopal Varma,male,Viacom 18 Motion Pictures,tt2186731,,Department,2012-05-18,Ram Gopal Varma,"Sanjay Dutt, Rana Daggubati, Lakshmi Manchu",India,Hindi,Not Rated,3.1,1065.0,,,"$27,351","organized crime,gangster","Awards, 1 win"
Mimi,Claire Simon,female,Associated British Picture Corporation,tt0026718,,,,,,,,,,,,,,,
The Operative,Yuval Adler,male,"Black Bear Pictures, Bord Cadre Films, Le Pacte",tt8000718,41%,The Operative,2019-07-24,Yuval Adler,"Diane Kruger, Martin Freeman, Cas Anvar","France, Israel, Germany, USA, UK","English, German, Persian, Hebrew, Kurdish, French",TV-MA,5.7,6463.0,47.0,,"$1,431,904","topless female nudity,female nudity,female spy,spy,iran","Awards, 1 win"
Django Unchained,Quentin Tarantino,male,Netflix,tt1853728,87%,Django Unchained,2012-12-25,Quentin Tarantino,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio",USA,"English, German, French, Italian",R,8.4,1524404.0,81.0,"$100,000,000 (estimated)","$426,074,373","racial vengeance,racial violence,slavery,one against many,sadism","Top rated movie #56 | Won 2 Oscars, 58 wins & 158 nominations total"
