id,title,director,director gender,distributor,rating score,title_imdb,release_date,directors,cast,countries,languages,rating,imDbRating,imDbRatingVotes,budget,cumulativeWorldwideGross,keywords,awards,relese_year
tt0268200,Brigham City,Richard Dutcher,male,,71%,Brigham City,2001-03-30,Richard Dutcher,"Richard Dutcher, Wilford Brimley, Matthew A. Brown",USA,English,PG-13,6.7,1546.0,"$1,000,000 (estimated)","$852,206","provo utah,sheriff,mormon,fbi agent,utah","Awards, 3 wins",2001.0
tt0940585,Brick Lane,Sarah Gavron,female,StudioCanal UK,6.2/10,,,,,,,,,,,,,,
tt0101509,Breathing Fire,,,,,,,,,,,,,,,,,,
tt6285672,Breaking & Exiting,Peter Facinelli,male,,0%,Breaking & Exiting,2018-08-17,Peter Facinelli,"Milo Gibson, Jordan Danger, Adam Huber",USA,English,,5.6,2247.0,,"$7,018","obscene finger gesture,female nudity,slur,profanity,suicide attempt with pills",,2018.0
tt2950052,Bravetown,,,Entertainment One,4.3/10,Bravetown,2015-05-08,Daniel Duran,"Laura Dern, Maria Bello, Josh Duhamel","Canada, USA",English,R,6.1,4126.0,,,love,,2015.0
tt0026133,Branded a Coward,Sam Newfield,male,,,Branded a Coward,1935-07-01,Sam Newfield,"Johnny Mack Brown, Billie Seward, Syd Saylor",USA,English,Passed,5.7,121.0,,,birthmark,,1935.0
tt5884230,Brad's Status,Mike White,male,,6.8/10,Brad's Status,2017-09-15,Mike White,"Ben Stiller, Austin Abrams, Jenna Fischer",USA,English,R,6.5,18013.0,,"$3,816,527","midlife crisis,fantasy sequence,envy,father son relationship,wealth","Awards, 1 win & 2 nominations",2017.0
tt0031119,Boys' Reformatory,Howard Bretherton,male,Monogram Pictures,,Boys' Reformatory,1939-05-01,Howard Bretherton,"Frankie Darro, Grant Withers, Lillian Elliott",USA,English,Approved,5.4,82.0,,,reprisal,,1939.0
tt0439478,Boynton Beach Club,Susan Seidelman,female,Roadside Attractions,5.9/10,,,,,,,,,,,,,,
tt0029941,Boy of the Streets,William Nigh,male,,,Boy of the Streets,1937-12-08,William Nigh,"Jackie Cooper, Maureen O'Connor, Kathleen Burke",USA,English,Approved,5.8,182.0,,,"street child,damsel in distress,reprisal,retribution,treachery",,1937.0
tt0034546,Bowery at Midnight,Wallace Fox,male,Monogram Pictures,,Bowery at Midnight,1942-10-30,Wallace Fox,"Bela Lugosi, John Archer, Wanda McKay",USA,English,Approved,5.3,1137.0,,,"back from the dead,romantic rivalry,schizophrenia,dual identity,the bowery manhattan new york city",,1942.0
tt10651188,Bornoporichoy,Mainak Bhaumik,male,,,Bornoporichoy: A Grammar of Death,2019-07-26,Mainak Bhaumik,"Abanti Mohan Banerjee, Prantik Banerjee, Kaushik Bhattacharya",India,Bengali,Not Rated,5.3,452.0,,,,,2019.0
tt10250750,Boonie Bears: Blast Into the Past,,,,,Boonie Bears: Blast Into the Past,2019-02-05,Leon Ding,"Chris Boike, Joseph S. Lambert, Siobhan Lumsden",China,English,TV-Y7,5.3,220.0,,"$112,367,881",time,"Awards, 1 nomination",2019.0
